,uid,cluster,Description (EN),Description (EN - ref),cluster_iconography,AuthorClean,AuthorAttr,cluster_attribution,scores_iconography,scores_authors,scores_attributions,AuthorDeathLong,AuthorDeathLat,CountModifiers,scores_times,scores_places,scores_count
0,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
1,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
2,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
3,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
4,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
5,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
6,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
7,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
8,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
9,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
10,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
11,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
12,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
13,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
14,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
15,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
16,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
17,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
18,00046fb9752f41e8a74ab3a2b1168039,2,Diana and Her Nymphs,Diana and Her Nymphs,8,"GARNIER,",Original,0,-48.4,9.26,-26.7,,,,278.7,28.7,574
