Author;AuthorULAN;AuthorULANLabel;AuthorNationality;BiographyLabel;AuthorBirth;AuthorDeath;AuthorBirthLong;AuthorBirthLat;AuthorDeathLong;AuthorDeathLat;AuthorBirthCity;AuthorDeathCity;CountModifiers;CountModifiers_Contact;CountModifiers_Neighbours;CountWorks;CountWorks_Modified;CountWorks_Contact;CountWorks_Neighbours;PercWorks_Modified;PercWorks_Contact;PercWorks_Neighbours
TIEPOLO Gianbattista;ulan:500018523;Tiepolo, Giovanni Battista;Italian (culture or style);Venetian painter, 1696-1770;1696.0;1770.0;12.326667;45.438611;-3.683333;40.4;Venice;Madrid;31.0;12.0;19.0;4577.0;384.0;152.0;232.0;0.08389774961765349;0.03320952589032117;0.05068822372733232
GUARDI Francesco;ulan:500017409;Guardi, Francesco;Italian (culture or style);Venetian painter, 1712-1793;1712.0;1793.0;12.326667;45.438611;12.326667;45.438611;Venice;Venice;15.0;5.0;10.0;3121.0;580.0;251.0;329.0;0.18583787247677028;0.08042294136494713;0.10541493111182314
TINTORETTO Jacopo;ulan:500011407;Tintoretto, Jacopo;Italian (culture or style);Venetian painter, 1519-1594;1519.0;1594.0;12.326667;45.438611;12.326667;45.438611;Venice;Venice;24.0;10.0;14.0;2616.0;347.0;156.0;191.0;0.1326452599388379;0.05963302752293578;0.07301223241590214
MICHELANGELO Buonarroti;ulan:500010654;Buonarroti, Michelangelo;Italian (culture or style);Italian sculptor, painter, architect, 1475-1564;1475.0;1564.0;11.983333;43.65;12.483333;41.9;Arezzo;Rome;7.0;3.0;4.0;2551.0;218.0;46.0;172.0;0.08545668365346923;0.01803214425715406;0.06742453939631517
TIZIANO Vecellio;ulan:500031075;Titian;Italian (culture or style);Venetian painter, ca. 1488-1576;1483.0;1576.0;12.383611;46.433056;12.326667;45.438611;Belluno;Venice;26.0;10.0;16.0;2339.0;491.0;257.0;234.0;0.2099187687045746;0.10987601539119282;0.10004275331338179
VERONESE Paolo;ulan:500021218;Veronese, Paolo;Italian (culture or style);Italian painter, 1528-1588;1528.0;1588.0;11.0;45.45;12.326667;45.438611;Verona;Venice;22.0;11.0;11.0;2346.0;720.0;405.0;315.0;0.3069053708439898;0.17263427109974425;0.13427109974424553
PALLADIO Andrea;ulan:500021650;Palladio, Andrea;Italian (culture or style);Italian architect, draftsman, and author, 1508-1580;1508.0;1580.0;11.883333;45.416667;11.55;45.55;Padua;Vicenza;6.0;3.0;3.0;1796.0;68.0;50.0;18.0;0.0378619153674833;0.02783964365256125;0.01002227171492205
RAFFAELLO Sanzio;ulan:500023578;Raphael;Italian (culture or style);Italian painter, architect, 1483-1520;1483.0;1520.0;12.633333;43.716667;12.483333;41.9;Urbino;Rome;28.0;10.0;18.0;1879.0;351.0;123.0;228.0;0.18680149015433742;0.06546035125066525;0.12134113890367217
PALMA Jacopo (il Giovane);ulan:500027810;Palma Giovane;Italian (culture or style);Italian painter, ca. 1548 - 1628;1544.0;1628.0;12.326667;45.438611;12.326667;45.438611;Venice;Venice;21.0;9.0;12.0;1409.0;102.0;63.0;39.0;0.0723917672107878;0.044712562100780694;0.027679205110007096
TIEPOLO Giandomenico;ulan:500025154;Tiepolo, Giovanni Domenico;Italian (culture or style);Italian painter, 1727-1804;1727.0;1804.0;12.326667;45.438611;12.326667;45.438611;Venice;Venice;20.0;6.0;14.0;1384.0;61.0;33.0;28.0;0.04407514450867052;0.02384393063583815;0.02023121387283237
