img1,img2,type,uid_connection,date,cluster_file,cluster
004b4ecffec840ce8bbc4a768efe2c87,faffda2772514cdba54692e70d9ade6e,POSITIVE,004b4ecffec840cea54692e70d9ade6e,14-06-2022_20:12:15,01-06-2022/clusters_optics_0.13_01-06-2022_19,682.0
00d55aab334640cd9eaca09c33c353c1,6d61adb6f53446b6b31adbb586df6079,POSITIVE,00d55aab334640cdb31adbb586df6079,10-06-2022_14:52:40,morphograph,94.0
00d55aab334640cd9eaca09c33c353c1,7c3c9718d04f4961b258a109ffd338d9,POSITIVE,00d55aab334640cdb258a109ffd338d9,10-06-2022_14:52:40,morphograph,94.0
00d55aab334640cd9eaca09c33c353c1,7f611bf9f5a244299ef2f673bb23b61e,POSITIVE,00d55aab334640cd9ef2f673bb23b61e,10-06-2022_14:52:40,morphograph,94.0
00d55aab334640cd9eaca09c33c353c1,8e75362c2b8942a9988c91722c2346c9,POSITIVE,00d55aab334640cd988c91722c2346c9,10-06-2022_14:52:40,morphograph,94.0
00d55aab334640cd9eaca09c33c353c1,af99b99138264aaaac311e6fa898b06a,POSITIVE,00d55aab334640cdac311e6fa898b06a,10-06-2022_14:52:40,morphograph,94.0
00d55aab334640cd9eaca09c33c353c1,bccee23e3e1e4ab89ecaaddd0a8d5e0c,POSITIVE,00d55aab334640cd9ecaaddd0a8d5e0c,10-06-2022_14:52:40,morphograph,94.0
01435531eca4444ea277d12dffbb0068,066c36f2a35f4ba583e7796a212203f1,POSITIVE,01435531eca4444e83e7796a212203f1,10-06-2022_14:42:00,morphograph,33.0
01435531eca4444ea277d12dffbb0068,2a8d4e1bfdb74eca8b4b638da1fbc4f7,POSITIVE,01435531eca4444e8b4b638da1fbc4f7,10-06-2022_14:42:00,morphograph,33.0
01435531eca4444ea277d12dffbb0068,4ca7465c479e403eb4066ea9179bb432,POSITIVE,01435531eca4444eb4066ea9179bb432,10-06-2022_14:42:00,morphograph,33.0
01435531eca4444ea277d12dffbb0068,52c28ef42c1d4aae96c7631fcca7d660,POSITIVE,01435531eca4444e96c7631fcca7d660,10-06-2022_14:42:00,morphograph,33.0
01435531eca4444ea277d12dffbb0068,53be2276c1eb4211a7383c56766aee77,POSITIVE,01435531eca4444ea7383c56766aee77,10-06-2022_14:42:00,morphograph,33.0
01435531eca4444ea277d12dffbb0068,5d79b149cf7445a4bfdf23d9b798a68c,POSITIVE,01435531eca4444ebfdf23d9b798a68c,10-06-2022_14:42:00,morphograph,33.0
01435531eca4444ea277d12dffbb0068,6f96097f261f4094badaaf011a889c8e,POSITIVE,01435531eca4444ebadaaf011a889c8e,10-06-2022_14:42:00,morphograph,33.0
01435531eca4444ea277d12dffbb0068,9ce56b3c8059489aa05ee37b5bbaffc0,POSITIVE,01435531eca4444ea05ee37b5bbaffc0,10-06-2022_14:42:00,morphograph,33.0
01435531eca4444ea277d12dffbb0068,ab78cee608eb4524a4f3fc072b24f042,POSITIVE,01435531eca4444ea4f3fc072b24f042,10-06-2022_14:42:00,morphograph,33.0
01435531eca4444ea277d12dffbb0068,e7d5b8fabef34afd901588f50ff53919,POSITIVE,01435531eca4444e901588f50ff53919,10-06-2022_14:42:00,morphograph,33.0
0151210d56524566b9f4e4cdd326e7dc,f1fdfee4ac4e49cc9e96f263d6dba01a,POSITIVE,0151210d565245669e96f263d6dba01a,14-06-2022_21:43:40,07-06-2022/clusters_optics_0.13_07-06-2022_19,1282.0
015bdd215fc94f4bba06a9ba10d24a11,1153fd805fee4a10a8b1deb136aa2540,POSITIVE,015bdd215fc94f4ba8b1deb136aa2540,10-06-2022_14:44:03,morphograph,53.0
015bdd215fc94f4bba06a9ba10d24a11,1280ff0f290b47b0bb65224d5e71e4e8,POSITIVE,015bdd215fc94f4bbb65224d5e71e4e8,10-06-2022_14:44:03,morphograph,53.0
015bdd215fc94f4bba06a9ba10d24a11,1a4ecebdd379406bb7c686121022caf5,POSITIVE,015bdd215fc94f4bb7c686121022caf5,10-06-2022_14:44:03,morphograph,53.0
015bdd215fc94f4bba06a9ba10d24a11,7cafbc0aa8bf4311b87967339b46aa99,POSITIVE,015bdd215fc94f4bb87967339b46aa99,10-06-2022_14:44:03,morphograph,53.0
015bdd215fc94f4bba06a9ba10d24a11,96f1701981d84f30ad0ddc3bd758a3ce,POSITIVE,015bdd215fc94f4bad0ddc3bd758a3ce,10-06-2022_14:44:03,morphograph,53.0
015bdd215fc94f4bba06a9ba10d24a11,d3e552f25fe7456e83d92801f83121a3,POSITIVE,015bdd215fc94f4b83d92801f83121a3,10-06-2022_14:44:03,morphograph,53.0
015bdd215fc94f4bba06a9ba10d24a11,d78d6915521d4d9093f179bfdab44fa5,POSITIVE,015bdd215fc94f4b93f179bfdab44fa5,10-06-2022_14:44:03,morphograph,53.0
015bdd215fc94f4bba06a9ba10d24a11,db69533115a141028d291ee88c632d46,POSITIVE,015bdd215fc94f4b8d291ee88c632d46,10-06-2022_14:44:03,morphograph,53.0
015bdd215fc94f4bba06a9ba10d24a11,e457cec6d86f47d1abbc34eccc0874d3,POSITIVE,015bdd215fc94f4babbc34eccc0874d3,10-06-2022_14:44:03,morphograph,53.0
017a08465c464d719f433c1039e0c0d1,4091e2bab8324a37840607e92faf8b87,POSITIVE,017a08465c464d71840607e92faf8b87,10-06-2022_15:50:23,07-06-2022/clusters_dbscan_0.00239_07-06-2022_19,20.0
01c20f58fad146119c46c3607a91988c,62f953b7b25f4ae4bfcb884ec5e87ef8,POSITIVE,01c20f58fad14611bfcb884ec5e87ef8,10-06-2022_15:51:03,07-06-2022/clusters_dbscan_0.00239_07-06-2022_19,25.0
01c20f58fad146119c46c3607a91988c,d8389f5725444477b3954e7a5d7fbfeb,POSITIVE,01c20f58fad14611b3954e7a5d7fbfeb,10-06-2022_15:51:03,07-06-2022/clusters_dbscan_0.00239_07-06-2022_19,25.0
01c9d15bc859434fa72380dae01ae476,25567076c91b43f68a828f0f86d6dc1e,POSITIVE,01c9d15bc859434f8a828f0f86d6dc1e,10-06-2022_15:12:46,morphograph,631.0
01c9d15bc859434fa72380dae01ae476,2c54a5152d0744538028ad8f461c9b56,POSITIVE,01c9d15bc859434f8028ad8f461c9b56,10-06-2022_15:12:46,morphograph,631.0
01c9d15bc859434fa72380dae01ae476,8a16f89c2fe44bcbbcc1db5a5b946080,POSITIVE,01c9d15bc859434fbcc1db5a5b946080,10-06-2022_15:12:46,morphograph,631.0
01c9d15bc859434fa72380dae01ae476,ac36923fa4a54d60a5343e6ae325f80c,POSITIVE,01c9d15bc859434fa5343e6ae325f80c,10-06-2022_15:12:46,morphograph,631.0
01c9d15bc859434fa72380dae01ae476,c21e8e9ca97b4f06aca45db3d9aa8901,POSITIVE,01c9d15bc859434faca45db3d9aa8901,10-06-2022_15:12:46,morphograph,631.0
01f29b29a558442e8482fdd88168d66b,33f5a6c05201499cbfacd82574968297,POSITIVE,01f29b29a558442ebfacd82574968297,10-06-2022_15:21:20,morphograph,867.0
01ff3d557f4a4133b70d7baee6f124b8,40483c2f08104c87bb056f694bb7759b,POSITIVE,01ff3d557f4a4133bb056f694bb7759b,10-06-2022_15:51:46,07-06-2022/clusters_dbscan_0.00239_07-06-2022_19,31.0
023684cd7a064ecfa8c1e41b2236048f,13168561513645899d91dcae16d104da,POSITIVE,023684cd7a064ecf9d91dcae16d104da,10-06-2022_14:41:19,morphograph,25.0
023684cd7a064ecfa8c1e41b2236048f,533edc77188c44b8858f2b34b336f2c6,POSITIVE,023684cd7a064ecf858f2b34b336f2c6,10-06-2022_14:41:19,morphograph,25.0
023684cd7a064ecfa8c1e41b2236048f,6449b75a1ca44a5cb54c766925ae5e6d,POSITIVE,023684cd7a064ecfb54c766925ae5e6d,10-06-2022_14:41:19,morphograph,25.0
023684cd7a064ecfa8c1e41b2236048f,764b5e62f6a84ff2a41d89f3256e259c,POSITIVE,023684cd7a064ecfa41d89f3256e259c,10-06-2022_14:41:19,morphograph,25.0
023684cd7a064ecfa8c1e41b2236048f,d6840776feb14fa288f2d83e1ba2a249,POSITIVE,023684cd7a064ecf88f2d83e1ba2a249,10-06-2022_14:41:19,morphograph,25.0
023684cd7a064ecfa8c1e41b2236048f,e08f8e24f8054e3bb1f870d4deeadc5a,POSITIVE,023684cd7a064ecfb1f870d4deeadc5a,10-06-2022_14:41:19,morphograph,25.0
023684cd7a064ecfa8c1e41b2236048f,f4153c322e194412a96da3a88d7070ce,POSITIVE,023684cd7a064ecfa96da3a88d7070ce,10-06-2022_14:41:19,morphograph,25.0
023bd457b23f4752bdeaafafc9faee98,7dbc2b881f2b49ca91b568a303983832,POSITIVE,023bd457b23f475291b568a303983832,10-06-2022_15:16:11,morphograph,729.0
023bd457b23f4752bdeaafafc9faee98,ab31d146301449f3ae616a2d795f972d,POSITIVE,023bd457b23f4752ae616a2d795f972d,10-06-2022_15:16:11,morphograph,729.0
023bd457b23f4752bdeaafafc9faee98,bf71d636f40b42b88cb2f3b5463e1cbe,POSITIVE,023bd457b23f47528cb2f3b5463e1cbe,10-06-2022_15:16:11,morphograph,729.0
023bd457b23f4752bdeaafafc9faee98,d845bfd4297b40d1be6973cec792dcc7,POSITIVE,023bd457b23f4752be6973cec792dcc7,10-06-2022_15:16:11,morphograph,729.0
023bd457b23f4752bdeaafafc9faee98,d9c42c0c5ce242a59d007a8e51bdc626,POSITIVE,023bd457b23f47529d007a8e51bdc626,10-06-2022_15:16:11,morphograph,729.0
02a60e2ec74b43988f70aad45e209fa8,1574820643224be384a583347d1a4846,POSITIVE,02a60e2ec74b439884a583347d1a4846,10-06-2022_14:57:48,morphograph,237.0
02a60e2ec74b43988f70aad45e209fa8,17942f6b8f7b4431b47b4c7dd13230ce,POSITIVE,02a60e2ec74b4398b47b4c7dd13230ce,10-06-2022_14:57:48,morphograph,237.0
