uid_connection,type,img1,img2,date,cluster_file,cluster
004b4ecffec840ce8bbc4a768efe2c87_faffda2772514cdba54692e70d9ade6e,POSITIVE,004b4ecffec840ce8bbc4a768efe2c87,faffda2772514cdba54692e70d9ade6e,14-06-2022_20:12:15,01-06-2022/clusters_optics_0.13_01-06-2022_19,682.0
008c4d43c344404285488f1bd6d95717_6ac798acd4f6417da2e31ed888d152e5,POSITIVE,6ac798acd4f6417da2e31ed888d152e5,008c4d43c344404285488f1bd6d95717,29-06-2022_12:49:32,07-06-2022/clusters_optics_0.13_07-06-2022_19,274.0
00a2f06fe1bb4002a8e8bfb16bdec1b5_9624f60493064ed299cddfa88eb06fb4,POSITIVE,00a2f06fe1bb4002a8e8bfb16bdec1b5,9624f60493064ed299cddfa88eb06fb4,29-06-2022_19:59:43,07-06-2022/clusters_optics_0.13_07-06-2022_19,495.0
00d55aab334640cd9eaca09c33c353c1_6d61adb6f53446b6b31adbb586df6079,POSITIVE,00d55aab334640cd9eaca09c33c353c1,6d61adb6f53446b6b31adbb586df6079,10-06-2022_14:52:40,morphograph,94.0
00d55aab334640cd9eaca09c33c353c1_7c3c9718d04f4961b258a109ffd338d9,POSITIVE,00d55aab334640cd9eaca09c33c353c1,7c3c9718d04f4961b258a109ffd338d9,10-06-2022_14:52:40,morphograph,94.0
00d55aab334640cd9eaca09c33c353c1_7f611bf9f5a244299ef2f673bb23b61e,POSITIVE,00d55aab334640cd9eaca09c33c353c1,7f611bf9f5a244299ef2f673bb23b61e,10-06-2022_14:52:40,morphograph,94.0
00d55aab334640cd9eaca09c33c353c1_8e75362c2b8942a9988c91722c2346c9,POSITIVE,00d55aab334640cd9eaca09c33c353c1,8e75362c2b8942a9988c91722c2346c9,10-06-2022_14:52:40,morphograph,94.0
00d55aab334640cd9eaca09c33c353c1_af99b99138264aaaac311e6fa898b06a,POSITIVE,00d55aab334640cd9eaca09c33c353c1,af99b99138264aaaac311e6fa898b06a,10-06-2022_14:52:40,morphograph,94.0
00d55aab334640cd9eaca09c33c353c1_bccee23e3e1e4ab89ecaaddd0a8d5e0c,POSITIVE,00d55aab334640cd9eaca09c33c353c1,bccee23e3e1e4ab89ecaaddd0a8d5e0c,10-06-2022_14:52:40,morphograph,94.0
01435531eca4444ea277d12dffbb0068_066c36f2a35f4ba583e7796a212203f1,POSITIVE,01435531eca4444ea277d12dffbb0068,066c36f2a35f4ba583e7796a212203f1,10-06-2022_14:42:00,morphograph,33.0
01435531eca4444ea277d12dffbb0068_2a8d4e1bfdb74eca8b4b638da1fbc4f7,CORRECT,01435531eca4444ea277d12dffbb0068,2a8d4e1bfdb74eca8b4b638da1fbc4f7,29-06-2022_19:14:10,01-06-2022/clusters_optics_0.13_01-06-2022_19,46.0
